title,url,source,publishedAt
Bitcoin Crashed 50% in 4 Months. Fidelity Says That’s a Good Thing,https://gizmodo.com/bitcoin-crashed-50-in-4-months-fidelity-says-thats-a-good-thing-2000727284,Gizmodo.com,2026-02-27T15:30:11Z
American speedskater Jordan Stolz wins second Olympic gold with 500-meter race victory,https://www.npr.org/2026/02/14/nx-s1-5714574/speedskater-jordan-stolz-win,NPR,2026-02-14T19:02:42Z
Who will — and won't — be guests at the State of the Union address,https://www.npr.org/2026/02/24/nx-s1-5723955/trump-congress-state-union-guests,NPR,2026-02-25T00:24:06Z
California's billionaires are moving to Miami. We mapped out where they are buying.,https://www.businessinsider.com/map-billionaires-moving-miami-indian-creek-coconut-grove-coral-gables-2026-2,Business Insider,2026-03-01T10:49:01Z
This limited edition Death Stranding-inspired tablet is the coolest computer I’ve ever touched,https://www.theverge.com/tech/883400/asus-rog-flow-z13-kojima-productions-edition-gaming-tablet-hands-on,The Verge,2026-02-24T13:59:19Z
Come Face to Face With the Best Nature Photography of the Year,https://gizmodo.com/come-face-to-face-with-the-best-nature-photography-of-the-year-2000725975,Gizmodo.com,2026-02-25T16:05:58Z
Simpson and guide Poth win Paralympic silver for GB,https://www.bbc.com/sport/articles/c1l7y1vq02yo,BBC News,2026-03-10T13:09:09Z
The U.S. and Canada set to square off in Olympic women's ice hockey gold medal match,https://www.npr.org/2026/02/19/nx-s1-5719332/winter-olympics-us-canada-womens-hockey-final-gold,NPR,2026-02-19T17:14:59Z
Two U.S. moms in their 40s rocketed to gold and bronze in Olympic bobsled showdown,https://www.npr.org/2026/02/16/nx-s1-5716104/moms-40s-gold-olympic-bobsled,NPR,2026-02-16T21:28:46Z
American Jordan Stolz speedskates to a third Olympic medal -- silver this time,https://www.npr.org/2026/02/19/nx-s1-5718087/winter-olympics-jordan-stolz-speedskating-medal,NPR,2026-02-19T18:09:22Z
The U.S. men's hockey team to face Slovakia for a spot in an Olympic gold medal match,https://www.npr.org/2026/02/20/nx-s1-5720937/u-s-mens-hockey-slovakia-olympic-gold-medal,NPR,2026-02-20T18:23:34Z
"Jordan Stolz opens his bid for 4 golds by winning the 1,000 meters in speedskating",https://www.npr.org/2026/02/12/g-s1-109752/jordan-stolz-gold-1000-meters,NPR,2026-02-12T10:02:00Z
Team USA faces tough Canadian squad in Olympic gold medal hockey game,https://www.npr.org/2026/02/22/nx-s1-5722810/team-usa-faces-tough-canadian-squad-in-olympic-gold-medal-hockey-game,NPR,2026-02-22T12:55:00Z
The U.S. women's hockey team is dominating the Olympics. Now they will play for gold,https://www.npr.org/2026/02/16/nx-s1-5715938/team-usa-womens-hockey-gold-medal-match,NPR,2026-02-16T21:08:57Z
"At the Olympics, skier Breezy Johnson won a gold medal — and an engagement ring, too",https://www.npr.org/2026/02/12/nx-s1-5712277/at-the-olympics-skier-breezy-johnson-won-a-gold-medal-and-an-engagement-ring-too,NPR,2026-02-12T17:31:52Z
"U.S. boosts gold medal tally at Winter Games, led by athletes from handful of states",https://www.npr.org/2026/02/23/nx-s1-5720980/us-gold-medals-winter-games-vermont-alaska,NPR,2026-02-23T09:00:00Z
This startup wants to bring back snail mail with an AI-powered app. Read the pitch that helped it raise $2.8 million.,https://www.businessinsider.com/escargot-raises-seed-greeting-cards-gen-z-ai-pitch-memo-2026-2,Business Insider,2026-02-26T20:01:01Z
"Ogden, Schumacher grab silver for U.S. in Olympic cross-country team sprint, Diggins falls short",https://www.npr.org/2026/02/18/nx-s1-5718014/ogden-schumacher-grab-silver-for-u-s-in-olympic-cross-country-team-sprint-diggins-falls-short,NPR,2026-02-18T11:59:21Z
GB men's curlers lose to Italy after shocking start,https://www.bbc.com/sport/articles/c627z4d0lp5o,BBC News,2026-02-13T11:01:39Z
'Never say no' - GB curlers 'open' to 2030 Winters,https://www.bbc.com/sport/articles/cjeny1ze8gvo,BBC News,2026-02-24T11:33:14Z
Gold heads for weekly loss as dollar advances,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_2ae2620d-1955-47ba-8e73-bd776cd10ae6,Yahoo Entertainment,2026-02-20T04:48:54Z
Staggering late win keeps alive GB semi-final hopes,https://www.bbc.com/sport/articles/c0q3nejy1pjo,BBC News,2026-02-18T11:20:23Z
Magic: The Gathering Sets A New $1.7 Billion Record For Turning Cardboard Into Gold,https://kotaku.com/magic-gathering-record-final-fantasy-hasbro-2000668256,Kotaku,2026-02-12T19:37:41Z
Italy's athletes shine at the Milan Cortina Olympics,https://www.npr.org/2026/02/16/nx-s1-5716001/italys-athletes-shine-at-the-milan-cortina-olympics,NPR,2026-02-16T18:37:24Z
Doctor Sounds Alarm After Trump Rambles About Drapes During War Update,https://www.thedailybeast.com/doctor-sounds-alarm-after-donald-trump-rambles-about-drapes-during-iran-war-update/,Daily Beast,2026-03-02T20:20:20Z
President Trump Changes Mind On USA vs. Canada Game Sunday,https://thespun.com/olympics/president-trump-changes-mind-on-usa-vs-canada-game-sunday,The Spun,2026-02-22T14:37:36Z
Hungary's $82 million bank transit swoop deepens spat with Ukraine,https://uk.news.yahoo.com/ukraine-accuses-hungary-taking-hostage-091359417.html,Yahoo Entertainment,2026-03-06T15:02:56Z
"Ohio treasure hunter Tommy Thompson released from prison, still mum on gold",https://www.dispatch.com/story/news/local/2026/03/10/tommy-thompson-ohio-treasure-hunter-prison-release/89089008007/,Fci Academy,2026-03-10T22:10:35Z
How Ilia Malinin Revolutionized Figure Skating with His Quadruple Axel,https://www.wired.com/story/how-ilia-malinin-revolutionized-figure-skating-with-his-quadruple-axel/,Wired,2026-02-13T12:00:00Z
The Google Pixel 10a Is Barely Different From the Pixel 9a,https://www.wired.com/story/google-pixel-10a/,Wired,2026-02-18T15:00:00Z
Code Metal Raises $125 Million to Rewrite the Defense Industry's Code With AI,https://www.wired.com/story/vibe-coding-startup-code-metal-raises-series-b-fundraising/,Wired,2026-02-19T19:30:00Z
LGBTQ+ Athletes Are Front and Center at the 2026 Winter Olympic Games,https://www.wired.com/story/lgbtq-olympians-make-inroads-at-the-winter-olympics/,Wired,2026-02-13T12:00:00Z
Teens Are Using AI-Fueled ‘Slander Pages’ to Mock Their Teachers,https://www.wired.com/story/teens-are-using-ai-fueled-slander-pages-to-mock-their-teachers/,Wired,2026-03-11T11:00:00Z
Ultrahuman’s new flagship smart ring has a 15-day battery life,https://www.theverge.com/tech/885866/ultrahuman-ring-pro-jade-ai-launch-price-availability,The Verge,2026-02-27T12:03:35Z
Shark’s ChillPill fan can cool your skin like an ice pack,https://www.theverge.com/tech/892180/sharkninja-shark-chillpill-personal-cooler-fan-price-availability,The Verge,2026-03-10T15:21:54Z
"‘Rick and Morty’ Returns This May, Promises ‘Grade A Organic Slop’",https://gizmodo.com/rick-and-morty-season-9-release-date-first-look-adult-swim-2000732344,Gizmodo.com,2026-03-11T14:25:11Z
The Two Key Villains of 2022’s Crypto Crash are Trying to Rewrite History,https://gizmodo.com/the-two-key-villains-of-2022s-crypto-crash-are-trying-to-rewrite-history-2000727029,Gizmodo.com,2026-02-26T14:55:02Z
"Tax credits for solar panels are available, but the catch is you can't own them",https://www.npr.org/2026/02/20/nx-s1-5649474/solar-panel-tax-credit,NPR,2026-02-25T09:40:11Z
Alysa Liu gives US its first women's figure skating Olympic gold in 24 years,https://abcnews.com/Sports/wireStory/alysa-liu-carries-us-medal-hopes-concluding-womens-130292928,Abcnews.com,2026-02-19T22:17:26Z
"U.S. cross-country star Jessie Diggins claims bronze, medaling in third straight Olympics",https://www.npr.org/2026/02/12/nx-s1-5712253/u-s-cross-country-star-jessie-diggins-claims-bronze-medaling-in-third-straight-olympics,NPR,2026-02-12T14:57:28Z
Cold gold! Britain wins its first Olympics title on snow,https://abcnews.com/Sports/wireStory/cold-gold-britain-wins-olympics-title-snow-130190933,Abcnews.com,2026-02-15T17:55:32Z
US captures record 11th gold medal at the Winter Olympics,https://abcnews.com/Sports/wireStory/us-captures-record-11th-gold-medal-winter-olympics-130361024,Abcnews.com,2026-02-21T12:24:58Z
$1.28 Trillion Wiped Out as Gold & Silver Crash—Is Lunar New Year Liquidity Driving the Drop?,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_edd8d1b8-99de-40e5-9f76-0c266dfd4f07,Yahoo Entertainment,2026-02-17T11:51:43Z
"Gold price below $5,000 as investors wait on Fed guidance for clues",https://uk.finance.yahoo.com/news/gold-prices-oil-pound-commodities-dollar-interest-rates-federal-reserve-uk-inflation-093233998.html,Yahoo Entertainment,2026-02-18T09:32:33Z
Hedge fund billionaire Ray Dalio says bitcoin will never seriously challenge gold,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_600ef7f5-cee6-45a5-bc10-3c1cd625c458,Yahoo Entertainment,2026-03-04T19:50:54Z
MAGA celebrates Olympic gold medalist Alysa Liu—then discovers she’s liberal and anti-ICE,https://dailydot.com/maga-celebrates-olympic-gold-medalist-alysa-liu/,The Daily Dot,2026-03-10T19:00:00Z
The Real Reason Local Pawn Shops Are Struggling While Silver And Gold Is Thriving,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b74720d8-c07e-4e94-8ce6-ac5e83296580,Yahoo Entertainment,2026-02-14T20:30:00Z
Gold and Silver Price Plunge as US Financial Crisis Signals Flash Red,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ff72e804-c9de-488d-bebb-052ff62de515,Yahoo Entertainment,2026-02-12T18:35:12Z
"Why Are Traders Betting on $20,000 Gold Price After a Historic Crash?",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c06e0424-1e3b-41cc-950e-f9895c8ca9d1,Yahoo Entertainment,2026-02-17T05:28:45Z
Gold & Silver Shine Again on Fresh Tariff Threats: 4 Stocks to Buy,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dc25c785-63dd-466d-afc8-a73434148f64,Yahoo Entertainment,2026-02-24T16:50:00Z
Investors seek harbour in gold as US and Israel strike Iran,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d52f45af-8742-4825-a182-c42b561bd9ff,Yahoo Entertainment,2026-03-01T12:54:37Z
Geologists Might Have Stumbled Upon the Largest Gold Mine in the World,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_af0f8402-d4c0-4e0f-941d-3e2762a04990,Yahoo Entertainment,2026-02-28T15:51:00Z
This year's Olympic medals are generating chatter — for their defects and price,https://www.npr.org/2026/02/12/nx-s1-5712772/olympic-medals-milan-cortina-games,NPR,2026-02-13T01:59:42Z
WATCH: Men's Olympic hockey team gets shout out from Trump at SOTU address,https://abcnews.com/video/130473424/,Abcnews.com,2026-02-25T02:43:14Z
WATCH: Dogs take on the Winter Games,https://abcnews.com/video/130094113/,Abcnews.com,2026-02-12T14:30:26Z
WATCH: America's Jack Hughes makes history at the Olympics,https://abcnews.com/video/130439131/,Abcnews.com,2026-02-24T11:27:30Z
WATCH: Couple recreates curling event inside their home,https://abcnews.com/video/130331152/,Abcnews.com,2026-02-20T13:09:35Z
WATCH: NHL stars return to Olympic hockey for 1st time in 12 years,https://abcnews.com/video/130109189/,Abcnews.com,2026-02-12T17:57:54Z
"Femke Kok beats Jutta Leerdam in speedskating's 500, adds an Olympic title to record",https://abcnews.com/Sports/wireStory/femke-kok-beats-jutta-leerdam-speedskatings-500-adds-130191507,Abcnews.com,2026-02-15T18:01:25Z
WATCH: State of the Union: U.S. men's Olympic hockey team honored by Trump,https://abcnews.com/video/130474696/,Abcnews.com,2026-02-25T03:01:42Z
"It's been 11 years since ""The Dress"" divided the internet, so let's finally decide: blue and black or white and gold? ",https://www.buzzfeed.com/discuss/blue-and-black-white-and-gold-dress-dq,Buzzfeed,2026-02-26T05:01:04Z
Listen! Best Buy's Presidents' Day sale is carving over 50% OFF these noise-cancelling Beats headphones,https://www.androidcentral.com/accessories/headphones/listen-best-buys-presidents-day-sale-is-carving-over-50-percent-off-these-noise-cancelling-beats-headphones,Android Central,2026-02-12T16:21:21Z
RE:Rangers X Codes (March 2026),https://www.ign.com/articles/re-rangers-x-codes,IGN,2026-03-10T05:14:39Z
Do GB athletes get paid at the Winter Olympics?,https://www.bbc.com/sport/articles/c05vz23ryr0o,BBC News,2026-02-13T11:21:49Z
Zendaya's ring and Stella McCartney's horses - the sights and trends at Paris Fashion Week,https://www.bbc.com/news/articles/ckg277pemzno,BBC News,2026-03-10T16:59:04Z
"10 minutes on slot machine brings $150,000+ jackpot at South Mississippi casino",https://www.sunherald.com/news/business/casino-gambling/article314849168.html,Biloxi Sun Herald,2026-02-26T18:49:33Z
"A Video Of FBI Director Kash Patel Hanging Out In The US Mens Hockey Team Locker Room Is Going Viral, And People Aren't Happy About It",https://www.buzzfeed.com/mychalthompson/kash-patel-2026-winter-olympics-hockey-visit,Buzzfeed,2026-02-22T22:13:27Z
Ohio Treasure Hunter Released from Prison After Refusing to Reveal Whereabouts of Ship of Gold's 500 Gold Coins,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c45d9fd7-0874-4ad0-ba9f-28386920a08f,Yahoo Entertainment,2026-03-11T16:48:54Z
"Forget Gold at $5,000 an Ounce. Here's Why a Simple Crypto Portfolio Might Be the Smarter ""Hard Asset"" Bet.",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_add86578-5e99-44f9-93fa-ed83a1bead53,Yahoo Entertainment,2026-03-07T00:31:00Z
Gold Just Did This For the 2nd Time in the Past 45 Years; Last Time It Preceded the Financial Crisis,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0d1ac0ba-5a79-490e-a882-d684354c4a62,Yahoo Entertainment,2026-03-10T06:50:00Z
This Gold Producer's Stock Has Doubled in the Past Year and It Just Announced a 60% Hike to Its Dividend,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c494d45c-46b5-49aa-85e1-1d97882f97c1,Yahoo Entertainment,2026-03-03T18:20:00Z
FishWife Gold Label Smoked Salmon,https://shop.uncrate.com/products/gold-label-smoked-salmon-3-pack,Uncrate.com,2026-02-19T17:00:00Z
WATCH: Widow of hockey star Johnny Gaudreau on Team USA’s emotional tribute,https://abcnews.com/video/130462022/,Abcnews.com,2026-02-24T21:45:18Z
WATCH: U.S. hockey team meets with President Trump in video shared by White House,https://abcnews.com/video/130467453/,Abcnews.com,2026-02-24T23:53:04Z
I moved back into my childhood home at age 40 with my husband and 3 kids. It's been surprisingly nice.,https://www.businessinsider.com/moved-back-into-childhood-home-adult-40-with-family-good-2026-3,Business Insider,2026-03-05T15:15:01Z
Jack Hughes scores in overtime as US beats Canada for gold at the Olympics,https://abcnews.com/Sports/wireStory/injured-captain-sidney-crosby-canada-us-olympic-gold-130380763,Abcnews.com,2026-02-22T16:20:28Z
Samsung’s still chasing the AirPods with its new Galaxy Buds 4 and Buds 4 Pro,https://www.theverge.com/tech/884434/samsung-galaxy-buds-4-pro-unpacked-2026-announcement,The Verge,2026-02-25T18:02:11Z
The Alysa Liu Effect,https://www.theatlantic.com/culture/2026/02/alysa-liu-skating-icon/686103/,The Atlantic,2026-02-22T02:27:00Z
Gasps and disbelief in US as 'Quad God's' Olympic dream crumbles,https://www.bbc.com/news/videos/c93wgxnk351o,BBC News,2026-02-14T00:13:01Z
I unboxed Motorola's Razr FIFA World Cup 26 Edition — a special edition phone you can actually buy,https://www.androidcentral.com/phones/motorola/i-unboxed-motorolas-razr-fifa-world-cup-26-edition,Android Central,2026-02-12T14:00:00Z
The Brits travelling in their thousands to 'Costa del Cheltenham',https://www.bbc.com/sport/horse-racing/articles/czx77n5j7y2o,BBC News,2026-03-10T17:16:55Z
Check out the Galaxy S26 lineup in every rumored color,https://www.androidcentral.com/phones/samsung-galaxy/check-out-the-galaxy-s26-lineup-in-every-rumored-color,Android Central,2026-02-13T09:15:00Z
Authorities discover massive operation after opening up shipping containers: 'We … need to know those who are behind this',https://www.yahoo.com/news/articles/authorities-discover-massive-operation-opening-013000275.html,Yahoo Entertainment,2026-03-07T01:30:00Z
"OPPO Find N6 is launching globally March 17, and I'm very excited about this feature",https://www.androidcentral.com/phones/oppo-phones/oppo-find-n6-is-launching-globally-march-17-and-im-very-excited-about-this-feature,Android Central,2026-03-09T05:19:25Z
